seqName,cluster
MZ498656.1/human/USA/WV120839/2021,Human
hCoV-19/deer/USA/WV-22-013500-002/2022|EPI_ISL_16467175|2022-03-08,Other WTD
MZ592339.1/human/USA/OR-CDC-LC0091552/2021,Human
MZ244849.1/human/USA/WV-CDC-ASC210061492/2021,Human
MZ498459.1/human/USA/WV120730/2021,Human
MZ274563.1/human/USA/WV-CDC-QDX24603395/2021,Human
OK230085.1/human/USA/WV-CDC-LC0073009/2021,Human
MZ254072.1/human/USA/WV-CDC-LC0058854/2021,Human
MZ030641.1/human/USA/PA-CDC-QDX23760576/2021,Human
MZ003430.1/human/USA/PA-CDC-LC0039326/2021,Human
MZ747258.1/human/USA/PA-CDC-4197459-001/2021,Human
MZ059354.1/human/USA/PA-CDC-STM-000053341/2021,Human
MZ153546.1/human/USA/PA-CDC-STM-000060451/2021,Human
hCoV-19/USA/PA-0099/2021|EPI_ISL_10657834|2021-04-29,Human
MZ599976.1/human/USA/M21046065/2021,Human
MW945248.1/human/USA/PA-CDC-4060032-001/2021,Human
OK233061.1/human/USA/WV-CDC-LC0070744/2021,Human
MW913497.1/human/USA/PA-CDC-LC0031929/2021,Human
MZ006605.1/human/USA/PA-CDC-STM-000047757/2021,Human
hCoV-19/USA/IL-S21WGS1415/2021|EPI_ISL_2086518|2021-04-30,Human
MZ000065.1/human/USA/MD-CDC-LC0035642/2021,Human
hCoV-19/USA/MD-HP04043/2021|EPI_ISL_1547934|2021-03-20,Human
MW909267.1/human/USA/MD-CDC-LC0030130/2021,Human
hCoV-19/USA/MD-HP04204/2021|EPI_ISL_1662771|2021-04-11,Human
hCoV-19/Chile/TA-139696/2021|EPI_ISL_3988265|2021-08-12,Human
MZ038480.1/human/USA/PA-CDC-LC0043028/2021,Human
hCoV-19/USA/MD-HP04238/2021|EPI_ISL_1662788|2021-04-10,Human
hCoV-19/deer/USA/WV-22-007927-001/2022|EPI_ISL_16388470|2022-01-24,5
hCoV-19/deer/USA/WV-22-007926-003/2022|EPI_ISL_16388459|2022-01-25,5
hCoV-19/deer/USA/WV-22-007926-015/2022|EPI_ISL_16388463|2022-01-25,5
hCoV-19/deer/USA/WV-22-007926-018/2022|EPI_ISL_16388464|2022-01-25,5
hCoV-19/deer/USA/WV-22-007927-002/2022|EPI_ISL_16388471|2022-01-31,5
hCoV-19/deer/USA/WV-22-010212-029/2022|EPI_ISL_16467171|2022-02-08,5
hCoV-19/deer/USA/NJ-22-010212-031/2021|EPI_ISL_16467172|2021-12-30,5
hCoV-19/deer/USA/WV-22-010212-019/2022|EPI_ISL_16467170|2022-01-26,5
22-011177-011_WV_Jefferson_2022-02-08,5
22-011177-003_WV_Jefferson_2022-02-08,5
OK343627.1/human/USA/WV123116/2021,Human
OK064126.1/human/USA/MD-MDH-4400/2021,Human
23-031606-106_PA_Warren_2022-11-28,2
23-031606-105_PA_Warren_2022-11-28,2
23-031606-103_PA_Warren_2022-11-28,2
hCoV-19/deer/USA/PA-VSP30027/2023|EPI_ISL_19259474|2023-01-02,2
23-031606-138_PA_Lancaster_2023-02-15,2
MZ025611.1/human/USA/MD-CDC-ASC210045817/2021,Human
MW965974.1/human/USA/MD-CDC-ASC210014681/2021,Human
hCoV-19/USA/MD-HP04128/2021|EPI_ISL_1547992|2021-03-28,Human
MW964078.1/human/USA/PA-CDC-STM-000033206/2021,Human
MZ500435.1/human/USA/WV035975/2021,Human
MW662158.1/human/GHA/nmimr-SARS-CoV-2-NTRA-15009/2020,Human
hCoV-19/USA/AR-UNM-BAP313956/2021|2021-05-19|2021-08-05,Human
OK425559.1/human/USA/AL-CDC-LC0026616/2021,Human
hCoV-19/USA/IL-CDC-LC0057120/2021|2021-05-04|2021-05-20,Human
hCoV-19/USA/IN-CDC-LC0036530/2021|2021-03-25|2021-04-15,Human
MW945258.1/human/USA/TN-CDC-4061947-001/2021,Human
OL615621.1/human/USA/FL-BPHL-15033/2021,Human
hCoV-19/USA/VA-CDC-LC0049572/2021|2021-04-17|2021-05-06,Human
MW929819.1/human/USA/VA-CDC-QDX23354265/2021,Human
MW914458.1/human/USA/WV-CDC-LC0034969/2021,Human
MZ037279.1/human/USA/VA-CDC-LC0041592/2021,Human
MZ008915.1/human/USA/GA-CDC-STM-000049009/2021,Human
hCoV-19/Morocco/FMP-221/2021|EPI_ISL_1913069|2021-03-19,Human
hCoV-19/USA/NC-CDC-4122594-001/2021|2021-05-02|2021-05-27,Human
MW914337.1/human/USA/WV-CDC-LC0034732/2021,Human
MZ070815.1/human/USA/WV-CDC-LC0046398/2021,Human
hCoV-19/USA/WV-CDC-LC0034676/2021|2021-03-22|2021-04-12,Human
MW913508.1/human/USA/WV-CDC-LC0032004/2021,Human
hCoV-19/USA/PA-CDC-STM-000036404/2021|2021-03-13|2021-04-12,Human
hCoV-19/USA/WI-MPHL-63799/2021|EPI_ISL_2500227|2021-04-26,Human
hCoV-19/deer/USA/NY-22-006202-013/2021|EPI_ISL_16464984|2021-12-14,4
hCoV-19/deer/USA/NY-22-001705-004/2021|EPI_ISL_16297296|2021-12-14,4
22-011177-001_NY_Onondaga_2021-12-22,4
22-003833-030_NY_Onondaga_2021-12-14,4
hCoV-19/deer/USA/NY-WTD_165733/2021|EPI_ISL_13610683|2021-11-20,4
hCoV-19/deer/USA/NY-WTD_149932/2021|EPI_ISL_13610670|2021-11-13,4
hCoV-19/deer/USA/NY-22-001705-024/2021|EPI_ISL_16297309|2021-12-06,4
hCoV-19/deer/USA/NY-22-013500-013/2022|EPI_ISL_16429145|2022-03-16,4
hCoV-19/deer/USA/NY-WTD_149937/2020|EPI_ISL_13610588|2020-11-22,4
hCoV-19/deer/USA/NY-WTD_119988/2021|EPI_ISL_13658807|2021-11-20,4
hCoV-19/deer/USA/NY-22-002350-007/2021|EPI_ISL_16297278|2021-12-06,4
hCoV-19/USA/NY-Wadsworth-21069433-01/2021|EPI_ISL_2868586|2021-06-05,Human
MZ363796.1/human/USA/AK-PHL9311/2021,Human
MZ390933.1/human/USA/NY-CDC-QDX25207814/2021,Human
hCoV-19/USA/NY-Wadsworth-21060283-01/2021|EPI_ISL_2627126|2021-05-17,Human
MZ448756.1/human/USA/NYI-NA-21-108/2021,Human
MZ448837.1/human/USA/NYI-NA-21-189/2021,Human
hCoV-19/USA/NY-Wadsworth-21060282-01/2021|EPI_ISL_2627125|2021-05-17,Human
MZ448764.1/human/USA/NYI-NA-21-116/2021,Human
MZ780018.1/human/USA/NY-CDC-2-4122046/2021,Human
MZ131291.1/human/USA/NY-CDC-QDX23997425/2021,Human
MW909490.1/human/USA/NY-CDC-LC0031187/2021,Human
hCoV-19/USA/NJ-PHEL-P21-12712/2021|EPI_ISL_1559363|2021-04-03,Human
MZ037709.1/human/USA/NJ-CDC-LC0042327/2021,Human
hCoV-19/USA/CT-Yale-3114/2021|EPI_ISL_1587323|2021-03-24,Human
MW834938.1/human/USA/MA-CDCBI-CRSP_01498/2021,Human
hCoV-19/USA/CO-CDPHE-2100811904/2021|2021-04-10|2021-05-26,Human
OM211822.1/human/USA/CO-CDPHE-40849012/2021,Human
OM068714.1/human/USA/CO-CDPHE-2100759744/2021,Human
hCoV-19/deer/USA/NY-WTD_149849/2021|EPI_ISL_13610689|2021-11-22,12
hCoV-19/deer/USA/NY-WTD_149832/2021|EPI_ISL_13658813|2021-11-24,12
hCoV-19/deer/USA/NY-WTD_119627/2021|EPI_ISL_13610678|2021-11-20,12
hCoV-19/deer/USA/NY-WTD_119567/2021|EPI_ISL_13610667|2021-11-11,12
hCoV-19/deer/USA/NY-WTD_119607/2021|EPI_ISL_13658779|2021-10-27,12
hCoV-19/deer/USA/NY-WTD_165681/2021|EPI_ISL_13658809|2021-11-20,12
hCoV-19/deer/USA/NY-22-001705-014/2021|EPI_ISL_16318394|2021-11-20,12
hCoV-19/deer/USA/NY-WTD_119777/2021|EPI_ISL_13658806|2021-11-20,12
OL329317.1/human/USA/NY-CDC-LC0332155/2021,Human
hCoV-19/USA/NJ-PHEL-P21-11438/2021|EPI_ISL_2376135|2021-05-15,Human
OK290494.1/human/USA/NJ-PHEL-P21-11438/2021,Human
hCoV-19/USA/NY-WMC2021-82/2021|EPI_ISL_3060287|2021-04-09,Human
hCoV-19/USA/NY-Wadsworth-21045370-01/2021|EPI_ISL_1756401|2021-04-13,Human
OL539108.1/human/USA/FL-BPHL-12745/2021,Human
hCoV-19/USA/NY-Wadsworth-21042129-01/2021|EPI_ISL_1671474|2021-04-03,Human
hCoV-19/USA/NY-Wadsworth-21042127-01/2021|EPI_ISL_1671473|2021-04-02,Human
hCoV-19/USA/NY-WMC2021-143/2021|EPI_ISL_6661855|2021-03-31,Human
MW995074.1/human/USA/NJ-CDC-ASC210011517/2021,Human
hCoV-19/USA/RI-CDCBI-RIDOH_01688/2021|EPI_ISL_1757166|2021-04-09,Human
MZ101487.1/human/USA/RI-CDCBI-CRSP_02768/2021,Human
hCoV-19/USA/FL-BPHL-12780/2021|EPI_ISL_6050692|2021-04-23,Human
MZ317863.1/human/USA/RI-CDCBI-RIDOH_10208/2021,Human
OK241533.1/human/USA/CO-CDC-MMB08948867/2021,Human
MZ833084.1/human/USA/CO-CDPHE-2101334552/2021,Human
MZ779255.1/human/USA/CO-CDC-2-4594944/2021,Human
OK240095.1/human/USA/GA-CDC-MMB08565780/2021,Human
hCoV-19/deer/USA/PA-21-038768-002/2021|EPI_ISL_9347719|2021-11-28,Other WTD
OQ437958.1_OH_2021-11-13,9
OQ437928.1_OH_2021-11-13,9
OQ437918.1_OH_2021-11-13,9
OQ437986.1_OH_2021-12-04,9
MZ511374.1/human/USA/KY-GD-SID-21042980110/2021,Human
MZ290431.1/human/USA/IN-CDC-STM-000070665/2021,Human
MZ405294.1/human/USA/KY-GD-SID-21042259073/2021,Human
hCoV-19/deer/USA/NY-22-006202-017/2021|EPI_ISL_16384471|2021-11-28,X
hCoV-19/deer/USA/NY-22-000890-008/2021|EPI_ISL_16308416|2021-11-23,X
hCoV-19/deer/USA/NY-22-002350-016/2021|EPI_ISL_16464976|2021-11-20,X
22-006202-004_NY_Erie_2021-11-30,X
hCoV-19/deer/USA/NY-WTD_164522/2021|EPI_ISL_13610634|2021-11-05,X
hCoV-19/deer/USA/NY-WTD_152918/2021|EPI_ISL_13658777|2021-10-02,X
hCoV-19/deer/USA/NY-WTD_164255/2021|EPI_ISL_13658780|2021-10-30,X
hCoV-19/deer/USA/NY-22-006202-048/2021|EPI_ISL_16366929|2021-11-30,X
hCoV-19/USA/NY-Wadsworth-21025030-01/2021|EPI_ISL_1226542|2021-02-21,Human
MZ154257.1/human/USA/PA-CDC-STM-000059788/2021,Human
MZ152405.1/human/USA/NY-CDC-QDX24125677/2021,Human
MZ059944.1/human/USA/PA-CDC-STM-000052034/2021,Human
MZ498449.1/human/USA/WV120615/2021,Human
hCoV-19/USA/WI-WSLH-213625/2021|EPI_ISL_1794482|2021-04-05,Human
hCoV-19/USA/WI-WSLH-212984/2021|EPI_ISL_1793906|2021-03-23,Human
hCoV-19/USA/NY-Wadsworth-21042411-01/2021|EPI_ISL_1755899|2021-04-01,Human
OQ204252.1/human/USA/WI-UW-4223/2021,Human
OQ437962.1_OH_2021-11-13,10
OQ437957.1_OH_2021-11-13,10
OQ437960.1_OH_2021-11-13,10
OQ437945.1_OH_2021-12-04,10
OQ437921.1_OH_2021-11-08,10
MZ006971.1/human/USA/FL-CDC-STM-000047036/2021,Human
MW912282.1/human/USA/FL-CDC-STM-000041095/2021,Human
MZ779814.1/human/USA/OH-CDC-2-4043630/2021,Human
hCoV-19/USA/NJ-PHEL-21-14916/2021|EPI_ISL_2443104|2021-05-24,Human
OK290069.1/human/USA/NJ-PHEL-21-14916/2021,Human
hCoV-19/deer/USA/PA-VSP3516/2021|EPI_ISL_9651200|2021-10-22,Other WTD
MZ192573.1/human/USA/NJ-CDC-IBX290541925123/2021,Human
MZ331844.1/human/USA/CA-LACPHL-AF01062/2021,Human
hCoV-19/deer/USA/NY-WTD_164533/2021|EPI_ISL_13658800|2021-11-07,Other WTD
22-002350-025_NY_Wyoming_2021-11-28,Other WTD
hCoV-19/USA/NY-Wadsworth-21042343-01/2021|EPI_ISL_1755869|2021-03-31,Human
hCoV-19/USA/NY-Wadsworth-21039863-01/2021|EPI_ISL_1624459|2021-03-19,Human
hCoV-19/USA/NY-Wadsworth-21039825-01/2021|EPI_ISL_2098204|2021-03-24,Human
MW841984.1/human/USA/NY-CDC-QDX22723421/2021,Human
MZ045104.1/human/USA/PA-CDC-QDX23804126/2021,Human
MZ337133.1/human/USA/NY-CDC-QDX25025274/2021,Human
hCoV-19/deer/USA/NY-WTD_164730/2021|EPI_ISL_13610695|2021-12-27,6
hCoV-19/deer/USA/NY-WTD_164723/2021|EPI_ISL_13658790|2021-11-05,6
hCoV-19/deer/USA/NY-22-003833-031/2021|EPI_ISL_16297251|2021-11-20,6
hCoV-19/deer/USA/NY-22-003833-011/2021|EPI_ISL_16297247|2021-11-28,6
hCoV-19/deer/USA/NY-22-003833-007/2021|EPI_ISL_16297246|2021-12-04,6
hCoV-19/deer/USA/NY-22-006202-001/2021|EPI_ISL_16464982|2021-11-29,6
hCoV-19/deer/USA/NY-22-003833-017/2021|EPI_ISL_16464981|2021-11-21,6
hCoV-19/deer/USA/NY-22-001705-023/2021|EPI_ISL_16297308|2021-11-21,6
hCoV-19/deer/USA/NY-WTD_164755/2021|EPI_ISL_13610639|2021-11-05,6
hCoV-19/deer/USA/NY-WTD_164737/2021|EPI_ISL_13610652|2021-11-06,6
hCoV-19/deer/USA/NY-22-002350-002/2021|EPI_ISL_16316156|2021-11-22,6
hCoV-19/deer/USA/NY-22-002350-012/2021|EPI_ISL_16297279|2021-11-22,6
hCoV-19/deer/USA/NY-22-001705-027/2021|EPI_ISL_16297312|2021-11-21,6
hCoV-19/deer/USA/NY-22-003833-023/2021|EPI_ISL_16297248|2021-11-21,6
hCoV-19/deer/USA/NY-22-002350-015/2021|EPI_ISL_16297285|2021-11-20,6
hCoV-19/deer/USA/NY-WTD_155877/2021|EPI_ISL_13610592|2021-10-02,6
hCoV-19/deer/USA/NY-WTD_119505/2021|EPI_ISL_13610625|2021-11-02,6
hCoV-19/deer/USA/NY-WTD_119480/2021|EPI_ISL_13610610|2021-10-27,6
hCoV-19/deer/USA/NY-WTD_164122/2021|EPI_ISL_13610601|2021-10-13,6
hCoV-19/deer/USA/NY-WTD_119478/2021|EPI_ISL_13610603|2021-10-18,6
hCoV-19/deer/USA/NY-WTD_119459/2021|EPI_ISL_13610602|2021-10-17,6
hCoV-19/deer/USA/NY-WTD_119457/2021|EPI_ISL_13610654|2021-11-07,6
hCoV-19/deer/USA/NY-22-006202-060/2021|EPI_ISL_16366932|2021-11-21,6
hCoV-19/deer/USA/NY-22-006202-035/2021|EPI_ISL_16384476|2021-11-21,6
hCoV-19/deer/USA/NY-WTD_164707/2021|EPI_ISL_13610650|2021-11-06,6
hCoV-19/deer/USA/NY-WTD_164739/2021|EPI_ISL_13658802|2021-11-11,6
hCoV-19/deer/USA/NY-WTD_164717/2021|EPI_ISL_13658804|2021-11-15,6
hCoV-19/deer/USA/NY-22-003833-018/2021|EPI_ISL_16308767|2021-11-27,6
MZ351788.1/human/USA/SC-COVID21-1898/2021,Human
hCoV-19/USA/NY-Wadsworth-21064477-01/2021|EPI_ISL_3031008|2021-05-27,Human
PP613946.1/human/USA/NY-PRL-210512_00A04/2021,Human
hCoV-19/USA/NY-Wadsworth-21063875-01/2021|EPI_ISL_2626956|2021-05-29,Human
hCoV-19/USA/NY-Wadsworth-21063518-01/2021|EPI_ISL_2627076|2021-05-27,Human
hCoV-19/USA/NY-Wadsworth-21059252-01/2021|EPI_ISL_2627099|2021-05-14,Human
hCoV-19/USA/NY-Wadsworth-21064404-01/2021|EPI_ISL_3030953|2021-05-24,Human
hCoV-19/USA/NY-Wadsworth-21063512-01/2021|EPI_ISL_2627070|2021-05-27,Human
hCoV-19/USA/NY-UB-KSL-00218/2021|EPI_ISL_4174537|2021-05-21,Human
hCoV-19/USA/NY-UB-KSL-00210/2021|EPI_ISL_4174519|2021-05-18,Human
hCoV-19/USA/NY-Wadsworth-21063521-01/2021|EPI_ISL_2627078|2021-05-27,Human
hCoV-19/USA/NY-Wadsworth-21074073-01/2021|EPI_ISL_3031256|2021-06-12,Human
hCoV-19/USA/NY-Wadsworth-21063453-01/2021|EPI_ISL_2627019|2021-05-19,Human
hCoV-19/USA/KS-KHEL-4026/2021|EPI_ISL_3150812|2021-07-19,Human
MZ591624.1/human/USA/FL-CDC-LC0089700/2021,Human
hCoV-19/USA/IN-INSPHL-01937/2021|EPI_ISL_2544587|2021-05-24,Human
MZ074058.1/human/USA/IL-CDC-QDX23916888/2021,Human
hCoV-19/deer/USA/NY-WTD_154944/2021|EPI_ISL_13610593|2021-10-03,Other WTD
MZ239710.1/human/USA/FL-BPHL-2589/2021,Human
MZ069248.1/human/USA/GA-CDC-LC0044626/2021,Human
MZ319255.1/human/USA/IN-CDC-QDX24758699/2021,Human
MZ037383.1/human/USA/MI-CDC-LC0041933/2021,Human
MZ472549.1/human/USA/MA-CDCBI-CRSP_Z3FE4HRAFHE6DTIZ/2021,Human
MZ264968.1/human/USA/MA-MASPHL-03694/2021,Human
MZ069554.1/human/USA/MI-CDC-LC0044851/2021,Human
MZ539315.1/human/USA/FL-BPHL-4722/2021,Human
hCoV-19/deer/USA/NY-WTD_163192/2021|EPI_ISL_13610672|2021-11-13,Other WTD
hCoV-19/deer/USA/NY-WTD_163188/2021|EPI_ISL_13658801|2021-11-10,Other WTD
MZ180202.1/human/USA/NC-CDC-LC0054482/2021,Human
OK217684.1/human/USA/MN-CDC-IBX988043003616/2021,Human
MZ254325.1/human/USA/NV-CDC-LC0059138/2021,Human
hCoV-19/deer/USA/NY-22-001705-025/2021|EPI_ISL_16297310|2021-11-21,7
hCoV-19/deer/USA/NY-22-000890-031/2021|EPI_ISL_16297225|2021-11-29,7
hCoV-19/deer/USA/NY-22-000890-020/2021|EPI_ISL_16308417|2021-11-21,7
hCoV-19/deer/USA/NY-22-002350-011/2021|EPI_ISL_16308829|2021-11-21,7
hCoV-19/deer/USA/NY-22-000890-013/2021|EPI_ISL_16297219|2021-11-29,7
hCoV-19/deer/USA/NY-22-006202-016/2021|EPI_ISL_16366918|2021-11-29,7
hCoV-19/deer/USA/NY-22-000890-001/2021|EPI_ISL_16297217|2021-11-29,7
hCoV-19/deer/USA/NY-22-006202-036/2021|EPI_ISL_16384477|2021-11-29,7
22-006202-042_NY_Yates_2021-11-29,7
hCoV-19/deer/USA/NY-22-001705-008/2021|EPI_ISL_16297300|2021-11-21,7
hCoV-19/deer/USA/NY-22-000890-029/2021|EPI_ISL_16297224|2021-11-29,7
hCoV-19/deer/USA/NY-22-000890-018/2021|EPI_ISL_16297220|2021-11-21,7
hCoV-19/deer/USA/NY-22-006202-034/2021|EPI_ISL_16366927|2021-11-21,7
hCoV-19/deer/USA/NY-22-006202-026/2021|EPI_ISL_16366923|2021-11-21,7
hCoV-19/deer/USA/NY-WTD_164713/2021|EPI_ISL_13610676|2021-11-15,7
hCoV-19/deer/USA/NY-WTD_164458/2021|EPI_ISL_13610618|2021-10-30,7
hCoV-19/deer/USA/NY-WTD_149911/2021|EPI_ISL_13610599|2021-10-10,7
hCoV-19/deer/USA/NY-WTD_165621/2021|EPI_ISL_13658785|2021-11-02,7
hCoV-19/deer/USA/NY-22-000890-023/2021|EPI_ISL_16297222|2021-11-22,7
hCoV-19/deer/USA/NY-WTD_119983/2021|EPI_ISL_13610642|2021-11-06,7
hCoV-19/deer/USA/NY-22-006202-012/2021|EPI_ISL_16464983|2021-11-21,7
hCoV-19/deer/USA/NY-22-000890-025/2021|EPI_ISL_16297223|2021-11-21,7
22-006202-045_NY_Schuyler_2021-11-29,7
hCoV-19/deer/USA/NY-WTD_165920/2021|EPI_ISL_13610694|2021-12-04,7
hCoV-19/deer/USA/NY-WTD_165892/2021|EPI_ISL_13610686|2021-11-20,7
hCoV-19/deer/USA/NY-WTD_119997/2021|EPI_ISL_13610659|2021-11-08,7
MZ184843.1/human/USA/NY-CDC-ASC210035800/2021,Human
hCoV-19/USA/NY-Wadsworth-21064411-01/2021|EPI_ISL_3030957|2021-05-21,Human
hCoV-19/USA/NY-Wadsworth-21064409-01/2021|EPI_ISL_2626978|2021-05-21,Human
MZ131340.1/human/USA/NY-CDC-QDX23997490/2021,Human
hCoV-19/USA/NY-Wadsworth-21045040-01/2021|EPI_ISL_1855278|2021-04-08,Human
hCoV-19/USA/NY-Wadsworth-21052975-01/2021|EPI_ISL_2278755|2021-04-29,Human
hCoV-19/USA/NY-Wadsworth-21045039-01/2021|EPI_ISL_1855277|2021-04-08,Human
hCoV-19/USA/NJ-PHEL-21-8529/2021|EPI_ISL_1493465|2021-03-25,Human
MZ371212.1/human/USA/LA-CDC-LC0065397/2021,Human
MW963746.1/human/USA/FL-CDC-STM-000026857/2021,Human
MW804393.1/human/USA/MN-MDH-3750/2021,Human
MW808018.1/human/USA/FL-CDC-STM-000020676/2021,Human
MW773758.1/human/USA/FL-CDC-LC0017570/2021,Human
hCoV-19/Pakistan/KRISS0657/2021|EPI_ISL_15172055|2021-03-20,Human
hCoV-19/Pakistan/KRISS0604/2021|EPI_ISL_15456422|2021-03-19,Human
NC_045512.2/Wuhan-Hu-1,Human
OY613554.1,Human
OU735619.2/Switzerland/TI-ETHZ-33921025/2021,Human
